LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,prediction,timestamp
1100,25860.0,39025.0,HomeImp,Other,10.5,0.0,0.0,94.366666667,1.0,9.0,,0.9523938496089508,2025-12-16 14:00:50.741384
1300,70053.0,68400.0,HomeImp,Other,7.0,0.0,2.0,121.83333333,0.0,14.0,,0.9362199008543186,2025-12-16 14:00:50.741384
1700,97800.0,112000.0,HomeImp,Office,3.0,0.0,0.0,93.333333333,0.0,14.0,,0.06480516499626073,2025-12-16 14:00:50.741384
1700,30548.0,40320.0,HomeImp,Other,9.0,0.0,0.0,101.46600191,1.0,8.0,37.113613558,0.8308875746340332,2025-12-16 14:00:50.741384
1800,48649.0,57037.0,HomeImp,Other,5.0,3.0,2.0,77.1,1.0,17.0,,0.9957238645506679,2025-12-16 14:00:50.741384
1800,28502.0,43034.0,HomeImp,Other,11.0,0.0,0.0,88.766029879,0.0,8.0,36.884894093,0.7817064447312734,2025-12-16 14:00:50.741384
2000,,62250.0,HomeImp,Sales,16.0,0.0,0.0,115.8,0.0,13.0,,0.21190442446009455,2025-12-16 14:00:50.741384
2000,20627.0,29800.0,HomeImp,Office,11.0,0.0,1.0,122.53333333,1.0,9.0,,0.9687549095355972,2025-12-16 14:00:50.741384
2000,45000.0,55000.0,HomeImp,Other,3.0,0.0,0.0,86.066666667,2.0,25.0,,0.88087350501684,2025-12-16 14:00:50.741384
2300,28192.0,40150.0,HomeImp,Other,4.5,0.0,0.0,54.6,1.0,16.0,,0.9729838773539891,2025-12-16 14:00:50.741384
2300,102370.0,120953.0,HomeImp,Office,2.0,0.0,0.0,90.992533467,0.0,13.0,31.588503178,0.004455441328477323,2025-12-16 14:00:50.741384
2300,37626.0,46200.0,HomeImp,Other,3.0,0.0,1.0,122.26666667,1.0,14.0,,0.9978178002364959,2025-12-16 14:00:50.741384
2400,28000.0,40800.0,HomeImp,Mgr,12.0,0.0,0.0,67.2,2.0,22.0,,0.9567691373667244,2025-12-16 14:00:50.741384
